Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
219,920,219U ,  , 23296       ,  13       ,            ,           ,  , , ,  60     ,us, 7      ,9/2+#         ,1,1993, A=100;B+ ?
219,930,219Np,  , 29440       ,  90       ,            ,           ,  , , , 570     ,us, 450    ,9/2-#         ,16,2015, A=100
220,820,220Pb,  , 24130#      , 400#      ,            ,           ,  , , ,   1#    , s, >300ns ,0+            ,11,2010, B- ?
220,830,220Bi,  , 20960#      , 300#      ,            ,           ,  , , ,   9.5   , s, 5.7    ,1-#           ,11,2010, B-=100;B-n ?
220,840,220Po,  , 15263       ,  18       ,            ,           ,  , , ,  10#    , s, >300ns ,0+            ,11,1998, B- ?
220,850,220At,  , 14376       ,  14       ,            ,           ,  , , ,   3.71  , m, 0.04   ,3-#           ,11,1989, B-=92 2;A=8 2
220,860,220Rn,  , 10612.0     ,   1.8     ,            ,           ,  , , ,  55.6   , s, 0.1    ,0+            ,11,1900, A=100;2B- ?
220,870,220Fr,  , 11482       ,   4       ,            ,           ,  , , ,  27.4   , s, 0.3    ,1+*           ,11,1948, A~100;B-=0.35 5
220,880,220Ra,  , 10272       ,   8       ,            ,           ,  , , ,  18.1   ,ms, 1.2    ,0+            ,11,1949, A=100
220,890,220Ac,  , 13744       ,   6       ,            ,           ,  , , ,  26.36  ,ms, 0.19   ,(3-)          ,11,1970, A=100;B+ ?
220,900,220Th,  , 14690       ,  14       ,            ,           ,  , , ,  10.2   ,us, 0.3    ,0+            ,11,1973, A=100;EC ?
220,910,220Pa,  , 20278       ,  15       ,            ,           ,  ,*, ,   0.85  ,us, 0.06   ,1-#           ,11,2005, A=100;B+ ?
220,911,220Pa,m , 20304       ,  22       ,   26       ,  23       ,AD,*, , 410     ,ns, 180    ,              ,,2018, A=100
220,912,220Pa,n , 20570       ,  50       ,  290       ,  50       ,AD, , , 260     ,ns, 210    ,              ,,2018, A=100
220,920,220U ,  , 23010#      , 100#      ,            ,           ,  , , ,  60#    ,ns,        ,0+            ,,, A ?;B+ ?
220,930,220Np,  , 30480       ,  30       ,            ,           ,  , , ,  29     ,ns, 11     ,1-#           ,,2019, A=100
221,830,221Bi,  , 24200#      , 300#      ,            ,           ,  , , ,   2#    , s, >300ns ,9/2-#         ,11,2009, B- ?;B-n ?
221,840,221Po,  , 19774       ,  20       ,            ,           ,  , , ,   2.2   , m, 0.7    ,9/2+#         ,13,2010, B-=100
221,850,221At,  , 16783       ,  14       ,            ,           ,  , , ,   2.3   , m, 0.2    ,3/2-#         ,7,1989, B-=100
221,860,221Rn,  , 14471       ,   6       ,            ,           ,  , , ,  25.7   , m, 0.5    ,7/2+*         ,7,1956, B-=78 1;A=22 1
221,870,221Fr,  , 13277       ,   5       ,            ,           ,  , , ,   4.801 , m, 0.005  ,5/2-*         ,7,1947, A~100;B-=0.0048 15;14C=8.8e-11 11
221,880,221Ra,  , 12964       ,   5       ,            ,           ,  , , ,  25     , s, 4      ,5/2+*         ,7,1949, A=100;14C=1.2e-10 9
221,890,221Ac,  , 14530       ,  60       ,            ,           ,  , , ,  52     ,ms, 2      ,9/2-#         ,7,1968, A=100
221,900,221Th,  , 16940       ,   8       ,            ,           ,  , , ,   1.75  ,ms, 0.02   ,7/2+#         ,7,1970, A=100
221,910,221Pa,  , 20370       ,  60       ,            ,           ,  , , ,   5.9   ,us, 1.7    ,9/2-          ,7,1983, A=100
221,920,221U ,  , 24520       ,  70       ,            ,           ,  , , , 660     ,ns, 140    ,9/2+#         ,15,2015, A~100;B+ ?
221,930,221Np,  , 29910#      , 200#      ,            ,           ,  , , ,  30#    ,ns,        ,9/2-#         ,,, A ?
221,940,221Pu,  , 35930#      , 300#      ,            ,           ,  , , , 100#    ,us,        ,9/2+#         ,,, A ?;SF ?
222,830,222Bi,  , 28950#      , 300#      ,            ,           ,  , , ,   3#    , s, >300ns ,1-#           ,,2009, B- ?;B-n ?
222,840,222Po,  , 22490       ,  40       ,            ,           ,  , , ,   9.1   , m, 7.2    ,0+            ,11,2010, B-=100
222,850,222At,  , 20953       ,  16       ,            ,           ,  , , ,  54     , s, 10     ,              ,11,1989, B-=100
222,860,222Rn,  , 16372.0     ,   1.9     ,            ,           ,  , , ,   3.8215, d, 0.0002 ,0+            ,11,1899, A=100
222,870,222Fr,  , 16378       ,   7       ,            ,           ,  , , ,  14.2   , m, 0.3    ,2-*           ,11,1975, B-=100
222,880,222Ra,  , 14320       ,   4       ,            ,           ,  , , ,  33.6   , s, 0.4    ,0+            ,11,1948, A=100;14C=3.0e-8 10
222,890,222Ac,  , 16622       ,   5       ,            ,           ,  ,*, ,   5.0   , s, 0.5    ,1-            ,11,1949, A=99 1;B+=1 1
222,891,222Ac,m , 16700       ,  21       ,   78       ,  21       ,AD,*, ,   1.05  , m, 0.05   ,5+#           ,11,1972, A~98.6 4;B+~1.4 4;IT ?
222,900,222Th,  , 17203       ,  10       ,            ,           ,  , , ,   2.24  ,ms, 0.03   ,0+            ,11,1970, A=100;EC ?
222,910,222Pa,  , 22060       ,  90       ,            ,           ,  , , ,   3.8   ,ms, 0.2    ,1-#           ,11,1970, A=100
222,920,222U ,  , 24270       ,  50       ,            ,           ,  , , ,   4.7   ,us, 0.7    ,0+            ,15,1983, A=100;B+ ?
222,930,222Np,  , 31270       ,  40       ,            ,           ,  , , , 480     ,ns, 190    ,1-#           ,,2020, A=100
222,940,222Pu,  , 35060#      , 300#      ,            ,           ,  , , ,  10#    ,us,        ,0+            ,,, A ?;SF ?
223,830,223Bi,  , 32240#      , 400#      ,            ,           ,  , , ,   1#    , s, >300ns ,9/2-#         ,11,2009, B- ?;B-n ?
223,840,223Po,  , 27080#      , 200#      ,            ,           ,  , , ,   6#    , s, >300ns ,11/2+#        ,11,2010, B- ?
223,850,223At,  , 23428       ,  14       ,            ,           ,  , , ,  50     , s, 7      ,3/2-#         ,1,1989, B-~100;A ?
223,860,223Rn,  , 20390       ,   8       ,            ,           ,  , , ,  24.3   , m, 0.4    ,7/2+*         ,1,1964, B-=100;A ?
223,870,223Fr,  , 18382.3     ,   1.9     ,            ,           ,  , , ,  22.00  , m, 0.07   ,3/2-*         ,1,1939, B-~100;A=0.006
223,880,223Ra,  , 17233.2     ,   2.1     ,            ,           ,  , , ,  11.4352, d, 0.0010 ,3/2+*         ,1,1905, A=100;14C=8.9e-8 4
223,890,223Ac,  , 17825       ,   7       ,            ,           ,  , , ,   2.10  , m, 0.05   ,(5/2-)        ,1,1948, A~99;EC ?
223,900,223Th,  , 19385       ,   8       ,            ,           ,  , , , 600     ,ms, 20     ,(5/2)+        ,1,1952, A=100
223,910,223Pa,  , 22340       ,  80       ,            ,           ,  , , ,   5.3   ,ms, 0.3    ,9/2-          ,1,1970, A=100;B+ ?
223,920,223U ,  , 26050       ,  60       ,            ,           ,  , , ,  65     ,us, 12     ,7/2+#         ,1,1991, A=100;B+ ?
223,930,223Np,  , 30660       ,  80       ,            ,           ,  , , ,   2.5   ,us, 0.8    ,(9/2-)        ,,2017, A=100
223,940,223Pu,  , 36120#      , 300#      ,            ,           ,  , , ,  10#    ,us,        ,9/2+#         ,,, A ?;SF ?
223,950,223Am,  , 42700#      , 300#      ,            ,           ,  , , ,  10     ,ms, 9      ,9/2-#         ,,2015, A~100;B+ ?
224,830,224Bi,  , 37070#      , 400#      ,            ,           ,  , , ,   1#    , s, >300ns ,1-#           ,15,2010, B- ?;B-n ?
224,840,224Po,  , 29910#      , 200#      ,            ,           ,  , , ,   3#    , m, >300ns ,0+            ,15,2010, B- ?
224,850,224At,  , 27711       ,  22       ,            ,           ,  , , ,   2.5   , m, 1.5    ,2+#           ,15,2010, B-=100
224,860,224Rn,  , 22445       ,  10       ,            ,           ,  , , , 107     , m, 3      ,0+            ,15,1964, B-=100
224,870,224Fr,  , 21749       ,  11       ,            ,           ,  , , ,   3.33  , m, 0.10   ,1-*           ,15,1969, B-=100
224,880,224Ra,  , 18825.8     ,   1.8     ,            ,           ,  , , ,   3.6316, d, 0.0014 ,0+            ,15,1902, A=100;14C=4.0e-9 12
224,890,224Ac,  , 20234       ,   4       ,            ,           ,  , , ,   2.78  , h, 0.16   ,(0-)          ,15,1948, B+=90.5 17;A=9.5 17;B- ?
224,900,224Th,  , 19996       ,  10       ,            ,           ,  , , ,   1.04  , s, 0.02   ,0+            ,15,1949, A=100;2B+ ?
224,910,224Pa,  , 23862       ,   8       ,            ,           ,  , , , 844     ,ms, 19     ,(5-)          ,15,1958, A~100;B+ ?
224,920,224U ,  , 25743       ,  15       ,            ,           ,  , , , 396     ,us, 17     ,0+            ,15,1991, A=100;B+ ?
224,930,224Np,  , 32032       ,  29       ,            ,           ,  , , ,  48     ,us, 19     ,2-#           ,,2018, A=100
224,940,224Pu,  , 35280#      , 300#      ,            ,           ,  , , ,  10#    ,us,        ,0+            ,,, A ?;SF ?
224,950,224Am,  , 43260#      , 400#      ,            ,           ,  , , ,   1#    ,ms,        ,              ,,, A ?;SF ?
225,840,225Po,  , 34580#      , 300#      ,            ,           ,  , , ,  10#    , s, >300ns ,3/2+#         ,11,2010, B- ?
225,850,225At,  , 30300#      , 300#      ,            ,           ,  , , ,   3#    , s, >300ns ,1/2+#         ,11,2010, B- ?;B-n ?
225,860,225Rn,  , 26534       ,  11       ,            ,           ,  , , ,   4.66  , m, 0.04   ,7/2-*         ,9,1969, B-=100
225,870,225Fr,  , 23821       ,  12       ,            ,           ,  , , ,   3.95  , m, 0.14   ,3/2-*         ,9,1969, B-=100
225,880,225Ra,  , 21993.0     ,   2.6     ,            ,           ,  , , ,  14.82  , d, 0.19   ,1/2+*         ,9,1947, B-=100
225,890,225Ac,  , 21637       ,   5       ,            ,           ,  , , ,   9.9190, d, 0.0021 ,3/2-          ,9,1947, A=100;14C=5.3e-10 13
225,900,225Th,  , 22310       ,   5       ,            ,           ,  , , ,   8.75  , m, 0.04   ,3/2+          ,9,1949, A~90;EC ?
225,910,225Pa,  , 24360       ,  80       ,            ,           ,  , , ,   1.71  , s, 0.10   ,5/2-#         ,9,1958, A=100
225,920,225U ,  , 27372       ,  10       ,            ,           ,  , , ,  62     ,ms, 4      ,5/2+#         ,9,1989, A=100
225,930,225Np,  , 31620       ,  90       ,            ,           ,  , , ,   6.5   ,ms, 3.5    ,9/2-#         ,9,1994, A=100;B+ ?
225,940,225Pu,  , 36300#      , 300#      ,            ,           ,  , , , 100#    ,us,        ,7/2+#         ,,, A ?;SF ?
225,950,225Am,  , 42390#      , 400#      ,            ,           ,  , , , 100#    ,us,        ,9/2-#         ,,, A ?;SF ?
226,840,226Po,  , 37550#      , 400#      ,            ,           ,  , , ,   1#    , m, >300ns ,0+            ,11,2010, B- ?
226,850,226At,  , 34660#      , 300#      ,            ,           ,  , , ,   7#    , m, >300ns ,2+#           ,11,2010, B- ?;B-n ?
226,860,226Rn,  , 28747       ,  10       ,            ,           ,  , , ,   7.4   , m, 0.1    ,0+            ,96,1969, B-=100
226,870,226Fr,  , 27521       ,   6       ,            ,           ,  , , ,  48.5   , s, 0.7    ,1-*           ,96,1969, B-=100
226,880,226Ra,  , 23667.6     ,   1.9     ,            ,           ,  , , ,   1.600 ,ky, 0.007  ,0+            ,96,1898, A=100;14C=2.6e-9 6;2B- ?
226,890,226Ac,  , 24309       ,   3       ,            ,           ,  , , ,  29.37  , h, 0.12   ,(1-)          ,96,1950, B-=83 3;EC=17 3;A=0.006 2
226,900,226Th,  , 23198       ,   4       ,            ,           ,  , , ,  30.70  , m, 0.03   ,0+            ,96,1948, A=100;18O<3.2e-12
226,910,226Pa,  , 26034       ,  11       ,            ,           ,  , , ,   1.8   , m, 0.2    ,1-#           ,96,1949, A=74 5;B+=26 5
226,920,226U ,  , 27329       ,  11       ,            ,           ,  , , , 269     ,ms, 6      ,0+            ,14,1973, A=100
226,930,226Np,  , 32820       , 100       ,            ,           ,  , , ,  35     ,ms, 10     ,              ,96,1990, A=100;B+ ?
226,940,226Pu,  , 35630#      , 200#      ,            ,           ,  , , ,  10#    ,ms,        ,0+            ,,, A ?;SF ?
226,950,226Am,  , 42970#      , 300#      ,            ,           ,  , , , 100#    ,us,        ,              ,,, A ?;SF ?
227,840,227Po,  , 42280#      , 400#      ,            ,           ,  , , ,   2#    , s, >300ns ,5/2+#         ,16,2010, B- ?
227,850,227At,  , 37430#      , 300#      ,            ,           ,  , , ,   5#    , s, >300ns ,1/2+#         ,16,2010, B- ?;B-n ?
227,860,227Rn,  , 32886       ,  14       ,            ,           ,  , , ,  20.2   , s, 0.4    ,(3/2+)*       ,16,1986, B-=100
227,870,227Fr,  , 29682       ,   6       ,            ,           ,  , , ,   2.47  , m, 0.03   ,1/2+*         ,16,1972, B-=100
227,880,227Ra,  , 27177.5     ,   1.9     ,            ,           ,  , , ,  42.2   , m, 0.5    ,3/2+*         ,16,1953, B-=100
227,890,227Ac,  , 25849.5     ,   1.9     ,            ,           ,  , , ,  21.772 , y, 0.003  ,3/2-*         ,16,1851, B-=98.62 36;A=1.38 36
227,900,227Th,  , 25804.8     ,   2.1     ,            ,           ,  , , ,  18.693 , d, 0.004  ,(1/2+)        ,16,1906, A=100
227,910,227Pa,  , 26830       ,   7       ,            ,           ,  , , ,  38.3   , m, 0.3    ,(5/2-)        ,16,1948, A=85 2;EC=15 2
227,920,227U ,  , 29045       ,   9       ,            ,           ,  , , ,   1.1   , m, 0.1    ,(3/2+)        ,16,1952, A=100;B+ ?
227,930,227Np,  , 32580       ,  80       ,            ,           ,  , , , 510     ,ms, 60     ,5/2+#         ,16,1990, A~100;B+ ?
227,940,227Pu,  , 36770#      , 100#      ,            ,           ,  , , ,   2#    , s,        ,5/2+#         ,,, A ?
227,950,227Am,  , 42180#      , 200#      ,            ,           ,  , , ,  20#    ,ms,        ,9/2-#         ,,, A ?;SF ?
228,850,228At,  , 41880#      , 400#      ,            ,           ,  , , ,   1#    , m, >300ns ,3+#           ,14,2010, B- ?;B-n ?
228,860,228Rn,  , 35243       ,  18       ,            ,           ,  , , ,  65     , s, 2      ,0+            ,14,1989, B-=100
228,870,228Fr,  , 33384       ,   7       ,            ,           ,  , , ,  38     , s, 1      ,2-*           ,14,1972, B-=100
228,871,228Fr,m , 34390       ,  30       , 1004       ,  30       ,  , , , 180     , s, 110    ,              ,,2008, IT ?; B- ?
228,880,228Ra,  , 28940.2     ,   2.0     ,            ,           ,  , , ,   5.75  , y, 0.03   ,0+            ,14,1907, B-=100
228,890,228Ac,  , 28894.7     ,   2.1     ,            ,           ,  , , ,   6.15  , h, 0.02   ,3+*           ,14,1908, B-=100
228,891,228Ac,m , 29430       ,  30       ,  539       ,  30       ,  , , , 180     , s, 70     ,              ,,2008, IT ?; B- ?
228,900,228Th,  , 26770.9     ,   1.8     ,            ,           ,  , , ,   1.9125, y, 0.0007 ,0+            ,14,1905, A=100;20O=1.13e-11 22
228,910,228Pa,  , 28924       ,   4       ,            ,           ,  , , ,  22     , h, 1      ,3+            ,14,1948, B+=98.15 17;A=1.85 17
228,920,228U ,  , 29220       ,  13       ,            ,           ,  , , ,   9.1   , m, 0.2    ,0+            ,14,1949, A=97.5 1.4;EC=2.5 14
228,930,228Np,  , 33830#      , 100#      ,            ,           ,  , , ,  61.4   , s, 1.4    ,4+#           ,14,1994, EC=59 7;A=41 7;B+SF=0.012 6
228,940,228Pu,  , 36108       ,  23       ,            ,           ,  , , ,   2.1   , s, 1.3    ,0+            ,14,1994, A~100;B+ ?
228,950,228Am,  , 42850#      , 200#      ,            ,           ,  , , , 100#    ,ms,        ,              ,,, A ?;SF ?
229,850,229At,  , 44890#      , 400#      ,            ,           ,  , , ,   1#    , s, >300ns ,1/2+#         ,11,2010, B- ?;B-n ?
229,860,229Rn,  , 39362       ,  13       ,            ,           ,  , , ,  11.9   , s, 1.3    ,(5/2+)*       ,9,2009, B-=100
229,870,229Fr,  , 35668       ,   5       ,            ,           ,  , , ,  50.2   , s, 0.4    ,(1/2+)        ,8,1975, B-=100
229,880,229Ra,  , 32562       ,  15       ,            ,           ,  , , ,   4.0   , m, 0.2    ,5/2+*         ,8,1975, B-=100
229,890,229Ac,  , 30690       ,  12       ,            ,           ,  , , ,  62.7   , m, 0.5    ,3/2+          ,8,1952, B-=100
229,900,229Th,  , 29585.5     ,   2.4     ,            ,           ,  , , ,   7.916 ,ky, 0.017  ,5/2+*         ,8,1947, A=100
229,901,229Th,m , 29585.5     ,   2.4     ,    0.00815 ,   0.00010 ,  , , ,   7     ,us, 1      ,(3/2+)        ,8,1994, IT=100
229,910,229Pa,  , 29897       ,   3       ,            ,           ,  , , ,   1.55  , d, 0.04   ,5/2+          ,8,1949, EC=99.51 5;A=0.49 5
229,911,229Pa,m , 29909       ,   3       ,   12.20    ,   0.04    ,  , , , 420     ,ns, 30     ,3/2-          ,8,1982, IT=100
229,920,229U ,  , 31211       ,   6       ,            ,           ,  , , ,  57.8   , m, 0.5    ,3/2+          ,8,1949, B+~80;A~20
229,930,229Np,  , 33800       , 100       ,            ,           ,  , , ,   4.00  , m, 0.18   ,5/2+#         ,8,1968, A=68 11;B+ ?
229,933,229Np,p , 33960#      , 110#      ,  160#      ,  50#      ,  , , ,         ,  ,        ,5/2-#         ,,,
229,940,229Pu,  , 37390       ,  60       ,            ,           ,  , , ,  91     , s, 26     ,3/2+#         ,8,1994, A~50 20;B+~50 20;SF<7
229,950,229Am,  , 42180       , 110       ,            ,           ,  , , ,   1.8   , s, 1.5    ,5/2-#         ,15,2015, A~100;B+ ?
229,953,229Am,p , 42440#      , 230#      ,  260#      , 200#      ,  , , ,       ,,,,,,
230,860,230Rn,  , 42170#      , 200#      ,            ,           ,  , , ,  24#    , s, >300ns ,0+            ,12,2010, B- ?
230,870,230Fr,  , 39487       ,   7       ,            ,           ,  , , ,  19.1   , s, 0.5    ,2+#           ,12,1987, B-=100
230,880,230Ra,  , 34516       ,  10       ,            ,           ,  , , ,  93     , m, 2      ,0+            ,12,1978, B-=100
230,890,230Ac,  , 33838       ,  16       ,            ,           ,  , , , 122     , s, 3      ,(1+)          ,12,1973, B-=100;B-SF=1.2e-6 4
230,900,230Th,  , 30862.5     ,   1.2     ,            ,           ,  , , ,  75.4   ,ky, 0.3    ,0+            ,12,1907, IS=0.02 2;A=100;SF<4e-12;24Ne=5.8e-11 13
230,910,230Pa,  , 32174       ,   3       ,            ,           ,  , , ,  17.4   , d, 0.5    ,2-            ,14,1948, B+=92.2 7;B-=7.8 7;A=0.0032 1
230,920,230U ,  , 31615       ,   5       ,            ,           ,  , , ,  20.23  , d, 0.02   ,0+            ,12,1948, A=100;22Ne=4.8e-12 20;SF ?
230,930,230Np,  , 35240       ,  60       ,            ,           ,  , , ,   4.6   , m, 0.3    ,4+#           ,12,1968, B+<97;A>3
230,940,230Pu,  , 36932       ,  14       ,            ,           ,  , , , 105     , s, 10     ,0+            ,12,1990, A~100;B+ ?
230,950,230Am,  , 42870#      , 140#      ,            ,           ,  , , ,  40     , s, 9      ,1-#           ,12,2003, B+~100;B+SF>30
231,860,231Rn,  , 46550#      , 300#      ,            ,           ,  , , ,   2#    , s, >300ns ,1/2+#         ,13,2010, B- ?
231,870,231Fr,  , 42081       ,   8       ,            ,           ,  , , ,  17.6   , s, 0.6    ,(1/2+)        ,13,1985, B-=100
231,880,231Ra,  , 38216       ,  11       ,            ,           ,  , , , 104     , s, 1      ,(5/2+)*       ,13,1983, B-=100
231,881,231Ra,m , 38282       ,  11       ,   66.21    ,   0.09    ,  , , , ~53     ,us,        ,(1/2+)        ,13,2001, IT=100
231,890,231Ac,  , 35763       ,  13       ,            ,           ,  , , ,   7.5   , m, 0.1    ,1/2+          ,13,1973, B-=100
231,900,231Th,  , 33815.8     ,   1.2     ,            ,           ,  , , ,  25.52  , h, 0.01   ,5/2+          ,13,1911, B-=100
231,910,231Pa,  , 33424.3     ,   1.8     ,            ,           ,  , , ,  32.65  ,ky, 0.20   ,3/2-*         ,13,1918, IS=100;A=100;SF<3e-10;24Ne=13.4e-10 17;23F=9.9e-13
231,920,231U ,  , 33806.0     ,   2.7     ,            ,           ,  , , ,   4.2   , d, 0.1    ,5/2+#         ,13,1949, EC~100;A=0.004 1
231,930,231Np,  , 35620       ,  50       ,            ,           ,  , , ,  48.8   , m, 0.2    ,5/2+#         ,13,1950, B+=98 1;A=2 1
231,940,231Pu,  , 38309       ,  22       ,            ,           ,  , , ,   8.6   , m, 0.5    ,(3/2+)        ,13,1999, B+ ?;A=13 5
231,950,231Am,  , 42410#      , 300#      ,            ,           ,  , , ,   1#    , m,        ,5/2-#         ,,, B+ ?;A ?
